Country,Population,regulations,firearms_per_100,Fire_arms_with_civilians,Computation_method,Registered_firearms,Unregistered_firearms,Gun_Death_Rate,Deaths_by_firearm,Suicide_Rate_by_Firearm,Unintentional_Deaths_by_Firearms,Police_Killings,Rate_Police_Killing _per_10M,Data_Year_Police_Killing,Notes
Benin,1831000,,23.8,436000,2,43206,392794,2.57,275,0.44,0.74 per 100k,,,,
Bermuda,9921000,,23.1,2296000,1,1955478,340522,1.5,1,0.05,0.16 per 100k,,,,
Bhutan,56000,,22.3,13000,3,,,0.1,1,0.17,0.25 per 100k,,,,
Bolivia,196744000,restrictive,22.3,43917000,2,6000000,37917000,2.56,306,0.39,0.83 per 100k,,,,
Bosnia and Herzegovina,10265000,,21.3,2186000,1,1400000,786000,0.26,9,0.78,0.07 per 100k,,,,
Botswana,64939000,,19.6,12732000,1,4501235,8230765,3.48,88,0.88,0.5 per 100k,,,,
Brazil,283000,restrictive,19.6,55000,3,,,20.8,47510,0.58,0.31 per 100k,5804,276.2,2019,
British Virgin Islands,80636000,,19.6,15822000,1,5830000,9992000,,,,,,,,
Brunei,38654000,restrictive,19.6,7588000,2,,,0.07,0,0.05,0.01 per 100k,,,,
Bulgaria,38000,restrictive,19.6,7000,3,,,0.55,40,0.93,0.23 per 100k,,,,
Burkina Faso,873000,restrictive,19.6,171000,3,,,3.91,682,0.53,0.84 per 100k,116,60.4,2018 2019,
Burundi,584000,restrictive,18.9,110000,1,86000,24000,0.28,31,0.5,1.1 per 100k,39,35.9,2018,
Cambodia,397000,restrictive,18.8,74000,2,17110,56890,0.95,163,0.09,0.13 per 100k,,,,
Cameroon,7877000,restrictive,18.7,1473000,2,120000,1353000,1.03,288,0.52,0.51 per 100k,,,,
Canada,31926000,restrictive,18.5,5895000,2,,,0.5,170,1.88,0.05 per 100k,36,9.7,2017,
Cape Verde,10893000,,17.6,1920000,1,1010000,910000,,,,,,,,
Cayman Islands,349000,,17.4,61000,2,49142,11858,,,,,,,,
Central African Republic,4100000,,16.7,685000,3,39000,646000,1.27,59,0.96,1.45 per 100k,30.1,64.4,2015 2016,Includes 18 documented executions
Chad,5312100,permissive,16.7,792000,3,,,2.99,380,0.49,0.99 per 100k,,,,
Channel Islands,6812000,,16.7,1140000,2,392000,748000,,,,,,,,
Chile,2338000,restrictive,16.7,390000,3,,,1.82,345,0.66,0.21 per 100k,,,,
Christmas Island,9398000,,16.7,1569000,3,,,,,,,,,,
Colombia,107000,restrictive,16.6,18000,2,,,24.8,12596,1,0.2 per 100k,169,34.1,2017,
Comoros,80418000,,16.5,13249000,2,2500000,10749000,3.16,21,0.37,0.83 per 100k,,,,
Congo,552000,,15.9,88000,2,30000,58000,,,,,,,,
Costa Rica,774000,restrictive,15.8,122000,2,4000,118000,6.94,355,1.28,0.11 per 100k,,,,
Croatia,2071000,restrictive,15.6,324000,1,127094,196906,0.34,16,1.87,0.08 per 100k,,,,
Cuba,2569000,restrictive,15.4,396000,2,200010,195990,0.28,32,0.24,0.17 per 100k,,,,
Curaçao,68298000,,15.1,10342000,2,6221180,4120820,,,,,,,,
Cyprus,24642000,restrictive,14.5,3573000,2,3158795,414205,0.51,8,0.77,0.06 per 100k,,,,
Czech Republic,59798000,restrictive,14.4,8609000,1,2000000,6609000,0.15,17,1.32,0.09 per 100k,,,,
DR Congo,32000,,14.4,5000,3,,,,,,,,,,
Democratic Republic of the Congo,,restrictive,,,,,,0.49,382,0.45,0.63 per 100k,389,47.8,2018,
Denmark,69000,restrictive,14.1,10000,3,7599,2401,0.15,8,0.93,0.03 per 100k,0,0,2019,
Djibouti,8305000,,14.1,1171000,2,475000,696000,3.39,38,0.39,0.69 per 100k,,,,
Dominica,165000,restrictive,14,23000,2,14550,8450,3.53,2,0.16,0.47 per 100k,,,,
Dominican Republic,3899000,restrictive,13.7,576000,2,390000,186000,11.28,1288,0.88,1.3 per 100k,142,131.8,2017,
East Timor,2831000,,13.6,385000,2,127984,257016,0.89,,,,,,,
Ecuador,6409000,restrictive,13.3,851000,2,,,5.5,989,0.51,0.27 per 100k,,,,
Egypt,130223000,restrictive,12.9,16809000,2,3118592,13690408,0.38,367,0.18,0.27 per 100k,212,21.2,2018,
